,utterance,expected
512,"budget would be 1400h or $1500, move in date is 04/28/22, number of occupants is 3 an adult and 2 babies, and I need 3 bedrooms and 2 baths",unitAssignment
513,I'm looking to move in ASAP just needed to know like total move in price that I'll be looking at,moveInCost
514,What is your rent payment policy?,rentPaymentPolicy
515,Are there any extra utility charges,utilityBilling
516,I meant today at 2:45.,unknown
517,"Hi Kelsey, I called you a few minutes ago, and we agreed to call again on 29th of march",unknown
518,Yes one for tomorrow at 2 o'clock,tourBooking
519,Yeah I like that one. Are you guys primarily located in downtown sf?,community_address
520,Hey there sorry for not getting back to you sooner. I'm exploring a few other options I expect to work out so I'll reach out if not,unknown
521,What are the amenities? Is there a washer dryer in unit?,amenities
522,Good- thank you 🙏,unknown
523,Quería saber si puedo moverme hoy mismo?,unknown
524,How do i get to the lease office,leaseOfficeDirection
525,what amenity do this unit have,amenities
526,When can I come see the apartments and I wanted to inquire if you might have a 3 bedroom available,unitAssignment
527,"Is electricity, water, heating, trash, internet, gas included",utility
528,What is the rent for the 1 bedroom and location?,unitAssignment
529,Oh ok yes I don't have any pets at the moment only one occupant,unknown
530,"Hello Kelsey!  My apologies been such a busy week.  I actually scheduled a tour via email for Saturday (reply via sfrent.net)

I found the listing via hotpads.  Should I just have scheduled with you instead?",unknown
531,are there any charges for having a pet,petRent
532,Where you guys located,community_address
533,Yeah can I schedule a tour please,tourBooking
534,What are your leasing office hours on Saturday?,leasingOfficeHoursSaturday
535,I don't need a tour but I'm trying to figure out what exactly I'd be paying to move in asap,moveInCost
536,Hi Ryan! Thanks for a prompt repsonse. I would like to schedule a tour. Do you have any availability on the upcoming friday?,tourBooking
537,Are you going to tell me who this is?,unknown
538,can i bring in a dog,pet
539,12,unknown
540,Do you work with misdemeanors?,misdemeanorPolicy
541,be renter insurance mandatory,renterInsurance
542,What all things are there in common area,commonAreas
543,Let me get back to you. Ur address is not directly on public transportation. So am i trying to find something on it.,unknown
544,Yes that's fine.. February! 1 bed/ 1bath. No children nor pets.,unknown
545,I really need a w/d connections. Thank you,unknown
546,"Take me off your 
Contact list",unknown
547,what kind of amenity do -PRON- have,amenities
548,What is the price for a studio,unitAssignment
549,We are flexible. But looking for a 2-3 bedroom place.,unitAssignment
550,Hi Kelsey- no further information is needed at this time. I appreciate the follow-up!,unknown
551,can i come for tour?,tourBooking
552,Yea i would like to!,unknown
553,Do you have a parking area?,parking
554,What time? When?,unknown
555,Unavailable,unknown
556,anything under 5000 $,unitAssignment
557,"Yes, please",unknown
558,can i sublease,sublease
559,What is the name of the community?,community_name
560,where be the property locate again,community_address
561,"Yes please , I'm Interested  to  lease a apartment by April 1 , looking for a 2B apt",unitAssignment
562,And my move in date is late may,unitAssignment
563,What's the location,community_address
564,"Yes, please tomorrow 6pm is good for me",tourBooking
565,And if so how much are they going for?,unitAssignment
566,2bdr 2 bath,unitAssignment
567,do i have to pay for a pet?,petRent
568,yes,unknown
569,I have pay stubs will you be able to get me in if approved in by the end of the month or sooner,unknown
570,Yes I will.,unknown
571,Does the property offer a private bathroom and bedroom ?,amenities
572,Ok sounds good thanks. And is there any security deposit discount available?,deposit
573,"Kelsey, thank you for reaching out. I am looking for properties that are accepting 3rd party assistance payments.",unitAssignment
574,Llegue a las 3 y me indican que están cerrados y que no me pueden atender ..,unknown
575,that sounds good,unknown
576,do -PRON- require renter insurance,renterInsurance
577,Okay mañana puedo de 10am a 1pm,unknown
578,Please give me a call for questions. Thank You,unknown
579,what is the cost to apply,applicationFee
580,What are your leasing office hours on Friday?,leasingOfficeHoursFriday
581,could -PRON- tell -PRON- the total fee that i should expect while move in,moveInCost
582,Total Units in Building,total_units
583,"Hi, I wasn't asked to pay a fee for the application. Is there a step I may have missed? Thanks!",applicationFee
584,do i need good credit,incomeRequirement
585,Hey I put in an application I wanted to check the status,unknown
586,what lease option do -PRON- have,leasePeriod
587,More information for right now please. If any move in special and total move in cost,moveInCost
588,Hi Kelsey. I would love my information. I just tried calling.,unknown
589,How much are your 1 bed rooms going for,unitAssignment
590,2 beds,unitAssignment
591,what is your  misdemeanor policy,misdemeanorPolicy
592,feedback survey. Please inform the office before lease signing.,unknown
593,Yes mam!!!! I would,unknown
594,is the deposit negotiable?,deposit
595,3 bedrooms move in time maybe or June,unitAssignment
596,be sublease allow,sublease
597,I understand thank you. Can I come in this Friday at 4pm?,tourBooking
598,"Is it possible to have a virtual tour? I live in Baton Rouge, LA, which is 5h away.",virtualTour
599,I won't be able to reach for tour,tourCancellation
600,pricing for the apartments,unitAssignment
601,1st option is good for me,unitAssignment
602,I also have someone coming with me I'm referring ,unknown
603,Yea I'm here,unknown
604,Can i see the property video on whatsapp,virtualTour
605,which location are you with?,community_address
606,can the application fee be waived,applicationFee
607,Additional information,unknown
608,what would be the total cost of move in to -PRON- property,moveInCost
609,Just looking for potential apartments,unknown
610,Ok ya voy para allá,unknown
611,What is the pet polocy,pet
612,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
613,Moving out of state thank you,unknown
614,do -PRON- have a fitness center,gym
615,"Awesome, this is a great space and am really interested. What is the application process and how can I start?",applicationProcess
616,I will have the money Friday I get paid this week please,unknown
617,Around 1030 ?,unknown
618,I currently live in NYC so would it be possible to schedule a viewing in a week or two? I'm planning to fly out to SF to view apartments,tourBooking
619,I try to call but no answer,unknown
620,Hey yes,unknown
621,1 adult 4 kids,unknown
622,is there any restriction on pets,pet
623,Yes I would like to schedule a tour do you have any available,tourBooking
624,where be -PRON-,community_address
625,What is the link to the community's website?,propertyWebsiteLink
626,"Yes j wanted to see pics of the 2 and 3 bedroom,",unitAssignment
627,New tenant application process?,applicationProcess
628,Hi Mrs. Kelsey I would love that but I do have some questions.,unknown
629,Do you have any availability on Sunday?,leaseGaurantor
630,Or can you let me know when you have time Wednesday night and after. I'm currently mini vacationing with my son until work Wednesday?,leasingOfficeHoursWednesday
631,I am canceling the 500pm tour of 555 O’farrell on the 25 of February.,unknown
632,Ok,unknown
633,Yes was looking for a 3 bedroom but it seems you are fresh out when i search on the website,unitAssignment
634,"Thanks 
We decide to stay more time in our current home ... ",unknown
635,Okay That Works,unknown
636,what kind of amenity do this place have,amenities
637,Is all utilities included garbage electricity heat,utility
638,can you tell me the apartment name?,community_name
639,"We can do tomorrow 5:30-6:30. Sorry I keep missing your calls. I'm at work. Should I text, call or just show up at that time?",tourBooking
640,What is leasing office direction,leaseOfficeDirection
641,Or else virtual tour is okay too,virtualTour
642,is there any rent control?,rentIncrementPolicy
643,April 6th I'll be free,unknown
644,"Yes, I would like to schedule a tour",tourBooking
645,and following up,unknown
646,Can you provide tour video of the property,virtualTour
647,what type of lease do -PRON- offer,leasePeriod
648,How can i see the house/property?,tourOptions
649,I'll head over there after work ,unknown
650,Oky thankes good,unknown
651,be cat allow,pet
652,What is the deposit?,deposit
653,"I'm in Florida , can We do a virtual tour? ",virtualTour
654,"Great, when can we set one up? And can you tell me a little more about the units you have available please and the application process?",applicationProcess
655,I am looking for 2 beds and two baths,unitAssignment
656,What tour types do you offer?,tourOptions
657,if i have a pet be that alright,pet
658,3bed 2bath its looking good for me,unitAssignment
659,Hi I'm here at the office ,unknown
660,"Is there a fitness facility? If yes, what equipment is available?",gym
661,"Questioned “Hi Tandra, this is Kelsey reaching out because I saw you submitted an inquiry for Stratford House Apartments. Would you like to schedule a tour or know any additional information?”",unknown
662,I have all the required documentation,unknown
663,I'm looking for a 1 bedroom preferably on the b side,unitAssignment
664,Yes,unknown
665,Parking,parking
666,I am looking for two bedrooms and two bathrooms,unitAssignment
667,Does it except pets,pet
668,How much is it,unitAssignment
669,Y cuánto es más o menos,unknown
670,Yes,unknown
671,I said 8:00pm don't believe you heard me correct I can do that time sun,tourBooking
672,Y'all don't have anything available for may,unitAssignment
673,Is credit check required,creditScore
674,Na we good,unknown
675,Can I come tommorow around 1030 please,tourBooking
676,Yes I wanted to know the payment and requirements for moving in for a studio or 1 bd/1bath,unitAssignment
677,Hey Ryan! I scheduled an appointment for 2pm tomorrow to see the place,tourBooking
678,Thanks so much,unknown
679,Thank you for contacting me. If possible Can we schedule a tour for Thursday or Friday. Thank you,tourBooking
680,pet?,pet
681,can i come for tour?,tourBooking
682,How late are you open?,unknown
683,Do you allow lease guarantors?,leaseGaurantor
684,Do I need to have a good credit history?,creditScore
685,Is there any central cooling system,airConditioner
686,Also I went to see the 2210 107 place yesterday and the property manager said they allow pets,pet
687,second looks fine to me,unitAssignment
688,is there on street parking available for guests,parking
689,Muchas gracias feliz tarde amigo !!,unknown
690,"Thanks! That sounds great!
Thursday works-I believe the time was 5pm on the listing?",tourBooking
691,What is your website,propertyWebsiteLink
692,"I can come now, if you guys are ok",tourBooking
693,Can you cancel my tour,tourCancellation
694,Thursday the 11th would be perfect!,tourBooking
695,Ya que no hay forma de comunicarme cn ustedes y no estoy recibiendo la respuesta que espero,unknown
696,could you send me the rent cost?,unitAssignment
697,"Quick question, were you talking about today or tomorrow for the 3:30 tour?",tourBooking
698,I'm actually getting ready for work,unknown
699,GOODAY do pictures of the place my bed is a cal.king,unknown
700,Unit options,unitAssignment
701,do -PRON- have exercise facility,gym
702,Do you have swimming pool,pool
703,Yes I was wondering how's the parking like,parking
704,I will be there,unknown
705,Are guest allowed ?,guestPolicy
706,I want to book a tour.,tourBooking
707,What happens if I can't make the rent payment on time,rentLateFee
708,Does this community feature outdoor spaces?,outerSpace
709,Is the electric included,unknown
710,Okay I'll go ahead and call him thank you!,unknown
711,schedule a tour,tourBooking
712,I am looking for 2 beds and 2 baths,unitAssignment
713,Do yall have any move in specials,unknown
714,Hello 2300 is to much for me thank you though I am willing to go 2000 if you find anything,unitAssignment
715,Hi Ryan. Thanks for reaching out! I am in LA and won't be able to come up to the Bay. I won't be moving until June and wanted to get a head start looking at buildings. I'd love to keep your contact and reach out in May if that's okay with you!,tourBooking
716,"What is the rent for 1 bedroom and studio, with washer ad dryer.",unitAssignment
717,"I will, thank you!",unknown
718,Where can i wash my clothes,laundry
719,Is there a Swimming pool?,pool
720,Is there any one time shifting charges,moveInCost
721,Okay sounds good,unknown
722,"Sat Feb 27, 2-2:30 is good!",tourBooking
723,"I am a felon, will be eligible",feloniesPolicy
724,Do you have a video tour i can see,virtualTour
725,"Are there parks, restaurants, clubs in the neighborhood",nearbyAttractions
726,Any downstairs and available for move by the 31 or the 1st of April and special anything without carpet,unitAssignment
727,How many apartments are there in this building?,total_units
728,"Ryan , Thank you for showing the room for me ...I will call again soon  ...",unknown
729,Sure that would be great,unknown
730,Im coming up from Southern California,unknown
731,That would be awesome,unknown
732,No not moving now. Lost job. But thank you for checking.,unknown
733,"What is the total amount a new resident should expect to pay upon moving in? (Please provide a total number and breakdown by deposit, application fees, move in fees, etc)",moveInCost
734,1 or 2 bedroom,unitAssignment
735,Monday works great,tourBooking
736,"Yes, please tomorrow 2pm is good for me",tourBooking
737,Yes I have a couple of questions.,unknown
738,I work all day Saturday so sadly that doesn't work for me.,tourBooking
739,So I have a lease rn that ends in may,unknown
740,how about a gym,gym
741,What is the income proof document required,incomeRequirement
742,What is monthly rent ?,unitAssignment
743,Ok sounds good,unknown
744,how much and when can i move in,unitAssignment
745,"And yes pls, I will like to see available 2bed 2baths you have in advance.  Thanks",tourBooking
746,1 bedroom & 1 Bathroom whenever it's available,unitAssignment
747,Do you have a swimming pool,pool
748,Can we do a tour Tuesday?,tourBooking
749,Is there any car charging stations,electricVehicleCharging
750,Si estoy buscando apartamento de 3 recamaras Kelsey,unknown
751,I want to cancel the tour,tourCancellation
752,If you can email some information I'm in El Paso Tx I need to relocate to Houston ,unknown
753,How much is the rent for the property?,unitAssignment
754,monthly rental,unitAssignment
755,I work Tues thru Sat,unknown
756,I'm sorry I don't have any pets. ,pet
757,Ok I will be willing to take a tour on Monday morning I will message tomorrow,tourBooking
758,0-bcce-26e6dd5fb92e&bsft_pid=fce702a5-625b-4905-84b9-ff13b512ee06&utm_campaign=1-week-reminder-for-viewed-in-last-day&utm_source=blueshift&utm_medium=email&bsft,unknown
759,Ok no problem I left a voicemail   So hopefully they get back to me this week,unknown
760,The application and guarantor application,leaseGaurantor
761,Are people with a broken lease history allowed,evictionPolicy
762,What time?,unknown
763,How much do I have to put down to move in ?,deposit
764,I I'll get this too right,unknown
765,I thought y'all had other properties like you guys were connected?,unknown
766,400 less than what I'm paying now,moveInCost
767,Yes ma'am I wanted price and information on a 22 or 21 available May 1 deposit application fees and requirements to get into apartment thank you so much,unitAssignment
768,"yes, we will be there.",unknown
769,I'm available today or Friday afternoon or any time next weekend,tourBooking
770,Thank u I have my appt with him tomarrow I hope he gets the voicemail I cant get there until 3 30 instead of noon time thanks again,tourBooking
771,Are there coolers in the apartment,airConditioner
772,Let me get back to you on that!,unknown
773,Sunday works for me,tourBooking
774,"Hello Ryan 
Let me check and I will let you know 
Thanks ",unknown
775,How much is that going for,unitAssignment
776,It's okay thank you ,unknown
777,???,unknown
778,can -PRON- tell -PRON- more about the gym in premise,gym
779,I have a car hard to park,parking
780,"also what are the details of the move-in/furniture promotion?
",leasingOfficePromotion
781,Im having a hard time finding a place for me and my kids to live,unknown
782,Thank you for reaching out! Yeah I was able to talk to someone earlier.... I will be there 😬,tourBooking
783,"3b-2b, & sometime in may",tourBooking
784,what utility,utility
785,can I come this monday?,tourBooking
786,Yes I would love to.,unknown
787,Utility billing,utilityBilling
788,"Okey that's work for me,",unknown
789,"i want to schedule a tour
VK",tourBooking
790,Oh ok thanks!,unknown
791,Thank you! One more q would I be able to see a two bed room too and also what is the price diff,unitAssignment
792,It's would have to be on the 4th of April,unknown
793,where would i be live,community_address
794,"Hi, sorry for the late response. I just seem that I'm not qualified, because my income is not enough.",unitAssignment
795,Can I check out this property on a website,propertyWebsiteLink
796,No I am not moving until late fall. Thanks you,unitAssignment
797,"Do you offer virtual tours? If yes, please describe here how virtual tours work.",virtualTour
798,Cool,unknown
799,Start an app and I'm waiting for an approval response.,applicationProcess
800,"Hi Ryan, yes please I would like to set up a tour of the property.",tourBooking
801,Perfect! Whats the pricing on that,unitAssignment
802,I need to change my tour time,rescheduleTour
803,I'm trying to complete the application online but it keeps saying to fill out all of the required information but I have filled out all information fields ,unknown
804,do you have 2x1 bedroom avablity,unitAssignment
805,No our dog is not allowed. Thank you,unknown
806,I want to cancel my tour,tourCancellation
807,I'm looking to see if you have any 3 bedroom 2 bath or 2 bedroom 2 bath with a washer and dryer connection available for immediate move in. and how much would the total move in be if so.,unitAssignment
808,Where is the property,community_address
809,can i have a dog at the apartment,pet
810,"I'm sorry,looking for all bills paid for now thanks for your help ",utilityBilling
811,Do you allow dogs?,pet
812,"Yes, would like to schedule a tour. I close from work at 5:30 p.m. Will be available after work. 
Thanks.",tourBooking
813,Ok can I park at your office,parking
814,could i come and visit,tourBooking
815,Do you have swimming pool?,pool
816,Ok,unknown
817,Im looking for 1 bed and 1 bath,unitAssignment
818,Is there a central Air conditioners in the community?,airConditioner
819,what cool amenity do -PRON- have,amenities
820,unit 2 works for me,unitAssignment
821,"If yes, how much is rent ? ",unitAssignment
822,"Thanks you! My budget is 1300. It will be my wife, daughter and I. I don't have any pets.",unitAssignment
823,I definitely would,unknown
824,Rental requirements,unknown
825,Also just to let you know i was convicted od a DUI felony back in 2014 will this be an issue,misdemeanorPolicy
826,How many pets are allowed,pet
827,hey kelsey,unknown
828,what is your felony policy,feloniesPolicy
829,10am is cool?,unknown
830,I will like to,unknown
831,Hours of operation,unknown
832,Do you have a one bedroom available,unitAssignment
833,Do you have any available?,unitAssignment
834,3 pm works for me,tourBooking
835,Is there additional cost to move in,moveInCost
836,be park available,parking
837,I work in South Bay,unknown
838,Thank you for your time!,unknown
839,Prefer to move in next month like 3rd week of April,unitAssignment
840,what be the rent and when can i move,unitAssignment
841,Do you work with felonies?,feloniesPolicy
842,"Does the community have air conditioning? If yes, what is the type of air conditioning?",airConditioner
843,I need to know how much the studios go for?,unitAssignment
844,K,unknown
845,what kind of utility be include in -PRON- rent,utility
846,I was looking for a all bills paid apartment but it really didn't say if it is or not,unknown
847,What are all your requirements,unknown
848,what utility be offer in rent,utility
849,If that's possible ,unknown
850,Show much is move in?,unknown
851,How much does utility cost by month,utilityBilling
852,"Hi, I would like to know if a Guarantor is required and if there is a security deposit?",leaseGaurantor
853,No 2 bedroom?,unitAssignment
854,"1 is fine. I'll rearrange some things, thanks!",tourBooking
855,"Hello Ryan, is the 6:00pm appt for the moving still available for tomorrow???",tourBooking
856,?,unknown
857,Yes I am looking for a 2 bd,unitAssignment
858,Schedule a tour.,virtualTour
859,I called the # and SF rent answered Marcus,unknown
860,Ok just making sure cause I planned on paying online! An 3x the rent so that should be like 3000 a month then?,unknown
861,do -PRON- guy do in person tour,tourBooking
862,"I know lower nob hill is a little pricier, but I would be okay with a studio within that price range there. Do you have any listings there?",unitAssignment
863,I would like more information before I schedule a tour,unknown
864,I can't afford that.i barely bring home 2400 a month,unknown
865,Yeah I have a felony of 8 years back agg robbery in was wondering if this could stop me from moving into your establishment,misdemeanorPolicy
866,One bedroom 1 bath. May 6,unitAssignment
867,We we're heading from another place in Oakland,unknown
868,How much is the late fee?,rentLateFee
869,Is the tour tomorrow at 6:00 for #306 or #406 1461 Alice or both?,tourBooking
870,Yes ma'am would Friday at 3 work ?do y'all have a washer and dryer included!,utility
871,Is mornings available,unknown
872,Do you have ceiling fans?,ceilingFans
873,what all things are there in outer space,outerSpace
874,That would be wonderful too actually thank you!,unknown
875,Do you accept Section 8?,section8
876,what are your move in fees,moveInCost
877,"I wanted to ask more about the rent and the special y'all have going on , I'm trying to move from Shreveport ",unitAssignment
878,What's the best option  for me in the mission for a studio?,unitAssignment
879,"Awesome.. See you around the 11th.
What will be the security deposit and requirements..",deposit
880,Yeah that'll work,unknown
881,do you have gymnasium,gym
882,What sort of common areas does this community feature?,commonAreas
883,Is there any outer space,outerSpace
884,"Yes, please tomorrow 3pm is good for me",tourBooking
885,Ok so I pay utilities+ rent?,unknown
886,"I'm looking for a 2BR, 2BA. Is there any available now?",unitAssignment
887,Yes,unknown
888,"Oh dang, what address was the other location?",community_address
889,yeah sure,unknown
890,I need one room apartment and I'm planning to move asap,unitAssignment
891,Please describe the amenities the community offers.,amenities
892,what length of lease do -PRON- guy have,leasePeriod
893,are the units Furnished in the building,furnishedUnit
894,Ok thanks Kelsey appreciate it!,unknown
895,"Oh, okay",unknown
896,Yes how many one bedroom do you have available and if I'm approved how soon would I be able to move I ,unitAssignment
897,I want to stop by today,tourBooking
898,"Ok, I can be there 4-4:15. Ok for you? Parking?",parking
899,No I get off at 5pm and I am 10min away.,unknown
900,April 6th moth the 8th I'll be at work,unknown
901,Can someone video call me from the house,virtualTour
902,We have selected another property thank you for your time,unknown
903,What's the rent increment policy,rentIncrementPolicy
904,Did you rent out #5 yet?..its been posted off the market,tourBooking
905,yes. I would like a virtual tour,virtualTour
906,"Disculpe el precio que me enviaron que incluye, o hay que pagar el agua y otras cosas aparte",unknown
907,be there a pool in the property,pool
908,"Yes, I was wondering what are you guys 2 bed rooms releasing for ?",unitAssignment
909,Can i charge my Tesla,electricVehicleCharging
910,pet,pet
911,Is pets allowed?,pet
912,What's the deposit for this unit?,deposit
913,do you allow dogs,pet
914,"Hi Ryan, to thanks for texting me. Yeah, I'd like to schedule a tour and see the place, I'm available on weekends. Let me know a good time for you.",tourBooking
915,No thank you,unknown
916,yes I would like to know if you all except section 8 vouchers please... thanks,section8
917,what are all the utilities included,utility
918,Can we do tomorrow at 3:30pm,tourBooking
919,"Are pets allowed
",pet
920,"Yes I do like to have a tour
But I am in Houstan only for today and Saturday, please let me know if you can show me the property. Thanks Raza",tourBooking
921,Ok. Is the live tour an option?,tourOptions
922,Ya pague 130 de aplicación,unknown
923,"Hi Kelsey, yes I would like to schedule a virtual tour for a 1bed 1 bath",virtualTour
924,Can you show me the property on a video call,virtualTour
925,"Hello, currently not at this time but I will be looking very soon. Thank you very much !",unknown
926,So will he approve if we tried to get that apartment?,unknown
927,I would like to schedule a tour,tourBooking
928,Yes,unknown
929,how much per month,unitAssignment
930,I am looking for 2bed 2 bath,unitAssignment
931,Do I need a lease guarantor,leaseGaurantor
932,Is it going to cost extra for pets,petRent
933,"Hi Ryan!
Thank you
This studio is actually for my son.
My son and I would like to see it 
",tourBooking
934,do -PRON- have a gym,gym
935,Okay perfect!!,unknown
936,Is there any deposit for pets?,petRent
937,under what condition will -PRON- with hold the deposit,withholdDeposit
938,Ok thank you,unknown
939,yes thatll work,unknown
940,And is it refundable if not approved? Or applied to rent if approved. Any move in specials?,unknown
941,"Hi Ryan, thanks for reaching out. Not quite yet but I'm considering. 

I wanted to ask where the bathrooms and showers are, also the cost of the rent and deposit. Do you allow students to stay at your apartments?",unknown
942,Are the heaters built in?,heatingSystem
943,"Hi. I have not seen another place yet, but my husband said I should hold on, the place is too far to his office. Thanks",unknown
944,Cancel only,tourCancellation
945,Are there any Sunday tours,tourBooking
946,I'm Googling it now ,unknown
947,can i come in for a tour later today,tourBooking
948,do -PRON- have any hard income requirement,incomeRequirement
949,Hi there! Waiting to hear back from my friend regards getting a place. I was actually helping her to find one. Let you know. Thank you!,unknown
950,"Hi, I believe I already sent in my application and was told it is being processed",applicationProcess
951,"Hello I was wondering, how much is the rent there? For two bedrooms ",unitAssignment
952,Are you able to cater to people with disabilities?,handicapPolicy
953,Sometime this week and can you send me the address please,community_address
954,can resident sublease,sublease
955,Um sure for tomorrow I have a bunch of tours tomorrow so I can let you know that whenever I'm done with those thank you,tourBooking
956,tomorrow 3 pm,tourBooking
957,Do you have any specials,leasingOfficePromotion
958,1 bedroom 1 bathroom,unitAssignment
959,Yes,unknown
960,Y cuanto debo pagar d renta?,unknown
961,Can you give me a call?,unknown
962,2,unknown
963,2 bedrooms are $850,unitAssignment
964,how much be -PRON- to apply,applicationFee
965,Do you have a move in special ?,leasingOfficePromotion
966,Yes I am looking for a 3 bedroom,unitAssignment
967,Additional info.,unknown
968,reschedule my tour,rescheduleTour
969,"Hi Ryan, sorry I need to reschedule the tour, would it be possible tomorrow morning?",tourBooking
970,Tienen apartamentos disponibles de 2 recámaras,unknown
971,I will want to move ASAP,unitAssignment
972,be there a gym for resident,gym
973,Is there an apartment ready to move in this week?,unitAssignment
974,Is there anyway to see the property without visiting it,virtualTour
975,Can you cancel my visit?,tourCancellation
976,Yes the 1bed 1bath is perfect and do u have any openings next week/weekend,unitAssignment
977,Can you provide me an online tour?,virtualTour
978,Let go with Thursday at 6,tourBooking
979,May I have virtual tour. Disabled,virtualTour
980,Do you have any virtual tours available?,virtualTour
981,hi,unknown
982,"As of right now, no ma'am. We already have a scheduled tour this Thursday at 4:30",tourBooking
983,Yes please.  I need a downstairs apartment also,unitAssignment
984,Please describe how rent is collected and any applicable policies.,rentPaymentPolicy
985,do -PRON- have a pool onsite,pool
986,On tomorrow morning,unknown
987,A tour of that pussy,unknown
988,I'm not available on the weekend,tourBooking
989,2 bedrooms and I'm looking to move April 9,unitAssignment
990,"Hi Ryan! Thanks for your email. 

I just wanted to confirm the cost of rent for the places you sent over. I noticed the move-in costs but wanted to clarify everything before moving forward. ",moveInCost
991,Yes I would love to schedule a tour and I do have a few questions,tourBooking
992,Or a 2x1 what ever is cheaper,unitAssignment
993,are viewings only available on weekdays?,tourBooking
994,"Hi Ryan, I'd be interested to get a virtual tour if possible first and more details about building before coming in for a tour",virtualTour
995,how many pet can i have,pet
996,Por el 313,unknown
997,do -PRON- guy have a pool for resident to use,pool
998,Could you send me information ?,unknown
999,"Thank you so much for reaching out to me! I am very much interested in the studio apartment for $1395. I would love to see the place if it is still available. I can be available tomorrow at 11:45am. However, I am in Southern California so if a virtual toor is possible that would be great!",virtualTour
1000,be there any condition because of which -PRON- will with hold the deposit,withholdDeposit
1001,No something came up I have to take care of it,unknown
1002,Would like a tour yes,tourBooking
1003,Price on the two bedroom ?,unitAssignment
1004,be there hard income requirement,incomeRequirement
1005,What will be included in that again ?,amenities
1006,I am looking for a one bed one bath and my lease is up in May so sometime either before or in the beginning of may,unitAssignment
1007,unit 1 is good for me,unitAssignment
1008,Is Saturday April 9th at 1pm a good time?,tourBooking
1009,I am looking for 2 bedrooms and 2 bathrooms,unitAssignment
1010,1bedroom,unitAssignment
1011,How many units are there?,total_units
1012,"do you have any 3 bedroom
2 bath or 2 bedroom 2 barb available with a washer and dryer connection?",unitAssignment
1013,Ok,unknown
1014,How much is the apartment? Does the property pay for utilities?,moveInCost
1015,Yes. I got one.Thanks.,unknown
1016,Oh okay thank you,unknown
1017,"Okay, let me get back to you in the morning when I get off. I'll be sure to stay up until I talk to you",unknown
1018,Yes was looking for a med/large 1bdrm or small 2bdrm need prices and availability,unitAssignment
1019,Can you send over the location,community_address
1020,"Hi Ryan, thanks for reaching out.  I would like to schedule a tour. Any chance that tomorrow morning would work?",tourBooking
1021,Do the apartments have ceiling fans?,ceilingFans
1022,What is the minimum income requirement,incomeRequirement
1023,"Yes, I would like to schedule a tour",tourBooking
1024,I don't have any pets,pet
1025,On 1st floor,unknown
1026,I'm sorry imma try in come in today ,unknown
1027,I do apologize for the late response. I am at work. But I was specifically interested in seeing unit #05 that I saw advertised for $1195 per month.,tourBooking
1028,2 bedrooms and I'm looking to move April 9,unitAssignment
1029,Yes and the deposit and fees you will need to pay before moving in,moveInCost
1030,So me dijeron q esta listo y me lo enseñaron,unknown
1031,what is the rent?,unitAssignment
