,utterance,expected
1032,"What is the application fee, and the requirements for renting? Thank you!",applicationFee
1033,Can i have cigarettes in building,smoking
1034,How much is it?,unitAssignment
1035,Muchas gracias,unknown
1036,be pet allow,pet
1037,I could try to do Saturday afternoon.,tourBooking
1038,"Hi! I would like to prematurely schedule a virtual tour. I'm living in Covington, Kentucky right now but have job prospects in San Francisco.",virtualTour
1039,Ok he has a pit thanks,pet
1040,be there a four wheeler parking,parking
1041,You too,unknown
1042,Okay sure a virtual tour,virtualTour
1043,Thank you very much!,unknown
1044,Where can i walk to near the house,nearbyAttractions
1045,Yes! A tour would be great. Do you have any availabilities  the week of April 5-11?,tourBooking
1046,do you have a swimming place,pool
1047,I am going to have to cancel,unknown
1048,what be the address,community_address
1049,Sure but you know we are moving in may at most,unknown
1050,Anytime tomorrow is fine,tourBooking
1051,What is included with the rent ?,amenities
1052,Is the property in HISD?,community_address
1053,or actually the weekend of the 19th/20th would be better,tourBooking
1054,"Thank so much,I'm available Tuesday at 6:45pm",tourBooking
1055,So no bills paid,unknown
1056,Can you call me tomorrow,unknown
1057,Do you accept applicants with felonies on their record?,feloniesPolicy
1058,We are applying now,unknown
1059,Are pit bulls allowed here?,pet
1060,Came Saturday be back on Monday,unknown
1061,2bath 3bed is good for me,unitAssignment
1062,Can you accommodate handicap?,handicapPolicy
1063,Whats app fee and deposit,applicationFee
1064,tell price,unitAssignment
1065,Hey! How safe is your area?,unknown
1066,Does the apartment include furniture,furnishedUnit
1067,How much is 3/2,unitAssignment
1068,Works the best,unknown
1069,Can i charge my Prius,electricVehicleCharging
1070,Si la verdad me interesa cuánto es la renta y que necesito y para cuándo está disponible,unknown
1071,You have any available now,unknown
1072,I want to know if it has been approved,applicationProcess
1073,I'm looking to move in may 1,unitAssignment
1074,Removed a question mark from “I've scheduled you for 6 PM viewing on Tuesday 02/23/21. See you there! Take care.”,unknown
1075,Yes!,unknown
1076,"Hi there.  I was on the site checking prices. Unfortunately,  you are out of my price range.",unknown
1077,But what's the price,unitAssignment
1078,Do you have electric car charging?,electricVehicleCharging
1079,You can call me any time today,unknown
1080,what be all the fee -PRON- charge for new renter,moveInCost
1081,2badrom,unknown
1082,"Hi Divyai, this is Kelsey. I'm following up since you recently inquired about Cantera. Do you have any questions or can I assist you with scheduling a tour?",tourBooking
1083,How much for a one bedroom?,unitAssignment
1084,I was able to look at a unit so now I'm just waiting for a call. Thanks,unknown
1085,Let me check it out and I'll let you know,unknown
1086,Is there any rent for pets?,petRent
1087,Yes pleas,unknown
1088,Yes that does! What is the pet policy in place at your apartment?,pet
1089,Hi yes I would like that,unknown
1090,what do i need to qualified,unknown
1091,If not ill take the 2 bedroom,unitAssignment
1092,Cancel,unknown
1093,Does the AC reach every room,airConditioner
1094,can i get a short term lease,leasePeriod
1095,1 bedroom next month,unitAssignment
1096,Will do. I got your email and will get something scheduled. Thanks!,tourBooking
1097,Together $3600 a mouth,unknown
1098,what equipment are there in gym?,gym
1099,Do you Have washer and dryer hook up?,laundry
1100,"Hey Ryan! I hope you are as well! 
Yes I'd like to schedule a tour. I was wondering also the availability of a 3 bed room - is that something you have?",tourBooking
1101,"I'm here now with Nora, thank you",unknown
1102,No thank you,unknown
1103,I'm trying but I cannt log in,unknown
1104,What is your eviction policy?,evictionPolicy
1105,Had to do something for my job !,unknown
1106,Thank you. Cam you please explain what the “move in/furniture cost reimbursement “ means?,unknown
1107,"And is this promotion still valid

I sent you an email about it . : $ 2500 REIMBURSEMENT FOR MOVE IN / FURNITURE COST AND NO APPLICATION FEE
Exclusions may",unitAssignment
1108,Where is the lease office,leaseOfficeDirection
1109,"I donnt need the tour any way, can I apply for the apartment",unitAssignment
1110,"Hello, I  stuck at a meeting. Do you have any availability over the weekend ?",tourBooking
1111,Yes about your rent special,unknown
1112,"Yes, I am looking for a rental in the right location.",unitAssignment
1113,do -PRON- allow pet,pet
1114,price per month,unitAssignment
1115,My boyfriend is scheduled for a tour later today. His name is Jamen Suter-Donaldson!,tourBooking
1116,"Thanks for reaching out, I've signed up for an open house on 3/06. Is anything else required?",tourBooking
1117,Okay thank you,unknown
1118,Please describe the application process in detail. Be sure to include which documents are required for an application.,applicationProcess
1119,APRIL 1ST @11AM,unknown
1120,be there a gym available,gym
1121,Hii,unknown
1122,Thanks so much! How long is the lease may I ask?,leasePeriod
1123,What is the property website,propertyWebsiteLink
1124,What type of heating system do your units feature?,heatingSystem
1125,Does your community provide accomodations for the handicapped? Please describe ADA,handicapPolicy
1126,Is the apartment furnished?,furnishedUnit
1127,do -PRON- have income requirement,incomeRequirement
1128,"Hi Ryan , what is the price on this place?",unitAssignment
1129,Hey I was wondering if you had any 2bedroom 2 baths maybe?,unitAssignment
1130,how much do -PRON- cost to apply,applicationFee
1131,Hey Kelsey Good Morning this is Covia so just wondering how much is your application fee?,applicationFee
1132,"yeah, tomorrow 3 pm works for me",unknown
1133,what be the price,unitAssignment
1134,We are looking for a 3 bedroom and 2 bathrooms and want to move by June or July.,unitAssignment
1135,could i schedule a viewing,tourBooking
1136,I am available Friday at 2:30pm. Would that work?,tourBooking
1137,Then with all the other money I get and help from my dad I'll be able to afford everything :),unknown
1138,Is there any heater system?,heatingSystem
1139,9 am works for me,tourBooking
1140,I'd love to set up a time to go look at this property,tourBooking
1141,So 95 total?,unknown
1142,What are your leasing office hours on Tuesday?,leasingOfficeHoursTuesday
1143,I just need a place for me my new Bron please,unknown
1144,Please describe all costs related to the application process.,applicationFee
1145,do be have in unit laundry,laundry
1146,Do you have studio or any 1 bedroom apartments available anywhere else in the city? Like the mission or elsewhere?,nearbyAttractions
1147,Yes,unknown
1148,Any openings for July as for a move in date ? If so we'd be more then happy to apply for the 1bed,unitAssignment
1149,The 6th would be perfect,unknown
1150,Yo aplique ayer?,unknown
1151,"Do you accept applicants with misdemeanors on their record? If there are any details regarding felonies/misdemeanors, please add them here.",misdemeanorPolicy
1152,2 bed 2 bath looking good for me,unitAssignment
1153,do -PRON- come with utility,utility
1154,"My budget would be $900, move in date would be April 15th, 1 occupant",unitAssignment
1155,Yes I was inquiring about your 2 bedrooms how much are they ? & is there any available,unitAssignment
1156,Does this property have AC,airConditioner
1157,I would love to schedule a tour. What time would be best?,tourBooking
1158,im looking for 1 bed and 1 bath,unitAssignment
1159,I want to see 1 bdrm,unitAssignment
1160,"designated parking space for your car. It's located in #10 Studio
1739",parking
1161,Thank you so much,unknown
1162,Can they open up for 10 minutes I can't do any of these,tourBooking
1163,I like the 2x1 but i wanna look at the 1x1 too,unitAssignment
1164,"Hi Kelsey, thank you for reaching out! Before I come in I just have a couple of questions. What amenities do you offer at the property?",amenities
1165,when do -PRON- have the place for rent and how much be -PRON-,unitAssignment
1166,Do you have any times on Friday?,tourBooking
1167,2 Bed 2 Bath Preferably April 6th,unitAssignment
1168,"Thanks for the reply I will definitely  be there at 5pm on Tuesday  February  16th to meet  with  Mr. Gothberg, and thank you  for your time 
Kenneth Quivers",tourBooking
1169,can i come for tour,tourBooking
1170,do you have workout area,gym
1171,hi yes i would like to schedule a tour,tourBooking
1172,"Hi Kelsey, I can take a look at the apartment in a couple weeks. ",tourBooking
1173,what be -PRON- income requirement,incomeRequirement
1174,"Oh hello and good morning! I have been offered a job in the Galleria area and really liked your complex. However, I would be looking to move until about July, as I am currently in South Carolina.",unknown
1175,For a 1-2 bedroom,unitAssignment
1176,2 bed 2 bath,unitAssignment
1177,how many parking spot do -PRON- come with,parking
1178,Is this a good call back number,unknown
1179,Hi Ryan.. thank you for your email.Is this palace court apartments? Can you confirm the price range for studio?,moveInCost
1180,The payment for parking is separate?,unitAssignment
1181,do you have 2/1 availability,unitAssignment
1182,would -PRON- be able to use the pool,pool
1183,I would like to apply for a studio that was advertised for $1395 if it is still available.,applicationProcess
1184,2 bedrooms,unitAssignment
1185,"Is there a pool? If yes, is it an indoor our outdoor pool?",pool
1186,Confirming that the apartment is cat friendly?,pet
1187,can i come for tour?,tourBooking
1188,When are you closed?,leasingOfficeHolidays
1189,how do i reach there,community_address
1190,Can you please text me which apartment ?,community_address
1191,Today would be great for 11am,tourBooking
1192,Ok how about the one bedroom prices,unitAssignment
1193,https://www.zumper.com/apartment-buildings/p226885/1025-post-downtown-san-francisco-ca?bsft_eid=f0a0cafe-a1f3-4e5d-93db-897abc412ad2&bsft_aaid=aa62ecf7-2655-4bf,propertyWebsiteLink
1194,Do u have one bedroom apartment available?,unitAssignment
1195,"Is there electric car charging? If yes, is the charging available for personal parking spaces or designated spaces?",electricVehicleCharging
1196,Really a studio  or 1 bed,amenities
1197,"Hi, I will not be able to arrive at the agreed time. I'm in a meeting and I don't know what time it ends.",unknown
1198,Ok thanks,unknown
1199,"Bueno tardes, nesecito ser una cita para un apto de tres avitaciones, este numero me lo dio una amiga ",unknown
1200,"Hi. Yeah, I just moved to Houston from California a few months ago. I'm just looking for a decent place I can afford on my own. I'm a student, so I'm finding out that it's difficult to study with roommates constantly making lots of noise. What is the lowest rental at Chestnut Hill?",unitAssignment
1201,Hi. I will be in Houston on May 22nd. Can I come by that day? Also how much is required to move into your one b droom on July 1st 2022 altogether?,moveInCost
1202,I'm wondering the prices for a efficiency or 1 bedroom,unitAssignment
1203,How do I do the application,applicationProcess
1204,Can you send me the application,applicationProcess
1205,Hi are you doing virtual tours?,virtualTour
1206,hello your location is in dallas tx?,community_address
1207,"Hi Kelsey! May I have a virtual tour? & I am looking to move from Mississippi within the next few months, when do you think would be the best time to apply?",virtualTour
1208,Yes what's the address,community_address
1209,What info do I need to fill out application for 1bedroom,applicationProcess
1210,Do you all have virtual tours,virtualTour
1211,If the tour isn't virtual I will not be able too until I'm in state which will be next month,virtualTour
1212,Application please,applicationProcess
1213,"Hello, I am interested in what your pet policy is. I have a dog that is 77 lbs. Shepard mix.",pet
1214,How much for I bed room 1bath,unitAssignment
1215,Good morning I would like info about this apt fees deposit and a application please. Thank you,applicationFee
1216,OK can you please email me a application?,applicationProcess
1217,OK thanks what is your website,propertyWebsiteLink
1218,So can you send me the application,applicationProcess
1219,What is the website,propertyWebsiteLink
1220,"Hey Kelsey, Can You Tell Me What's The Process With Leasing ?",applicationProcess
1221,Can you tell me what do I need to have to lease,applicationProcess
1222,"Yes , what does it take to get in ? Money wise I mean",moveInCost
1223,Is there a move in deposit fee,deposit
1224,Is the application fee refundable,applicationFee
1225,Do I need to make a deposit?,deposit
1226,"I am not in Houston, TX so virtual tour is better for me",virtualTour
1227,How much do I need to pay before moving in?,moveInCost
1228,"Hi. No, I just want two pieces of information. How much is the monthly rent for an apartment for a single person? Do you need credit to be able to rent?",unitAssignment
1229,"Hi Kelsey, do you offer furnished apartments? Also, is there an option for month to month leases?",leasePeriod
1230,Is there a way I can just fill out an online application,applicationProcess
1231,Location??,community_address
1232,"My apologies, I was sidetracked and just submitted it. I wanted to know what was the monthly income needed for the 3 bedrooms and if there were any available mid June?",incomeRequirement
1233,do you have a pool,pool
1234,Do you take section 8 vouchers,section8
1235,I do also have a dog who is an Australian shepherd. He is 45 lbs so I wanted to check if he was too big to be allowed,pet
1236,Based on my travel (driving from Alaska) and schedule it is nearly impossible to do most of this in person.,virtualTour
1237,"Hi, are virtual tours available",virtualTour
1238,what's your parking policy,parking
1239,Yes I would like to do a virtual tour if at all possible,virtualTour
1240,Virtual would be perfect,virtualTour
1241,Do you have a move in special?,leasingOfficePromotion
1242,How much 1 bed,unitAssignment
1243,The deposit and the application fee,applicationFee
1244,How much is your one bed,unitAssignment
1245,Yes so Iâ€™m looking to possibly relocate however Iâ€™m wanting to know about the move in special you guys have I currently live in Monroe Louisiana,leasingOfficePromotion
1246,Yes hello I wanted to know about the utilities and unit size available around the time,utilityBilling
1247,I currently stay in Irving but I am relocating down to that area. Would credit or background be an issue?,creditScore
1248,How much is the deposit,deposit
1249,I would like to know additional information on application fee and How much would a 1bed room be for a down stairs apartment,moveInCost
1250,"hi , yes virtually",virtualTour
1251,I'm curious as to what utilities are included into the monthly rent; if any. I've been considering moving to Houston for a decent while now and need somewhere somewhat safe and in a reliable area and considered your area to be as such.,utilityBilling
1252,Hi do you guys have any move in specials at the moment,leasingOfficePromotion
1253,"Hello I was wondering, how much is the rent there? For two bedrooms",unitAssignment
1254,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
1255,Do you offer virtual tours as I am moving from out of state and cannot come visit in person as of this point in time,virtualTour
1256,The email I have says $45 app fee and $100 admin fee? Which is it?,applicationFee
1257,Hi! Is a zoom tour available?,virtualTour
1258,Does water goes include with the rent?,utility
1259,Oh hello! I was wondering if you had in unit laundry or W/D hookup?,laundry
1260,Yes. Do you offer virtual tours?,virtualTour
1261,"Hello . Yes , but can you possibly do it virtually?",virtualTour
1262,also do y'all have in unit washer & dryer?,laundry
1263,More info for rent,unitAssignment
1264,Yes! Do y'all have a website?,propertyWebsiteLink
1265,"Hi, we are interested in a 3 bedroom apt downstairs. Can you tell me a bit more on what the deposit is and what are the fees?",deposit
1266,"Yes, more info on price and availability.",unitAssignment
1267,Prices,unitAssignment
1268,Yes and I haven't received the application link yet,applicationProcess
1269,I would like to know additional information. I am looking to move in June 1st (or the first week of June). I would like to schedule a video tour if that is possible.,virtualTour
1270,Are pets allowed? I have a cat.,pet
1271,Ok. And How much is pet rent,pet
1272,What are the differences between the units? And is there a washer and drier available,laundry
1273,Do you have virtual tours,virtualTour
1274,Do you have in unit washer and drier,laundry
1275,Yes what are the requirements for move in?,moveInCost
1276,Where is this property located,community_address
1277,Yes ma'am and I'd love to fill out an application,applicationProcess
1278,Yes i was wondering if you accepted college students with no credit history but had the income for the apartment ?,creditScore
1279,Is a bit too early. I have to sell my house in Jersey. I don't know if I should buy or rent.,unitAssignment
1280,"Hi Kelsey, I have a prior eviction from May of 2019; however I have rental history after that. Will that be a issue?",misdemeanorPolicy
1281,cancel my tour,tourCancellation
1282,Is that close to Sugarland?,nearbyAttractions
1283,What do you require for a person to rent,applicationProcess
1284,Yes can you tell me what is the average cost of utilities and what is covered?? Thank you,moveInCost
1285,My first question would be. Do you accept applicants with broken lease?,evictionPolicy
1286,"Hi yes! 
 So I'm currently in Alabama and planning to move there sometime in June. 
 Is there a way I can set up a virtual tour or get a video of the 3bedroom unit.",virtualTour
1287,How much for a 1bedroom 1 bath,unitAssignment
1288,No I work do you guys do virtual tours,virtualTour
1289,"Hi. Yeah, I just moved to Houston from California a few months ago. I'm just looking for a decent place I can afford on my own. I'm a student, so I'm finding out that it's difficult to study with roommates constantly making lots of noise. What is the lowest rental at Chestnut Hill?",unitAssignment
1290,Just information I pretty I have seen the property back before Covid-19 2016& 2017 but I need info on a 3 bedroom 2bathroom how much it leasing for!,unitAssignment
1291,what utilities if any are included in the rent?,utility
1292,Do you accept HUD Housing Vocher,section8
1293,Are there any move in specials going on at this time?,leasingOfficePromotion
1294,"Hello! Thank you for your message, I'm at work so texting helps. But I wanted to know if you work with broken leases? I have one from 2 yrs ago. I live with a family member but me and my partner are looking for a 1 bedroom",evictionPolicy
1295,Address,community_address
1296,How much is it to move in,unitAssignment
1297,Do I pay for applications are no,applicationFee
1298,Yes for both of the price is same or different,unitAssignment
1299,"Additional information, where are you located?",community_address
1300,"Hi Kelsey, sorry for the late reply. Just wonder do you provide 3 month lease for studio?",leasePeriod
1301,can it be virtually,virtualTour
1302,I unfortunately can not do a in person tour because I currently live in Ohio I am in the process of moving to texas I did want to know some information,virtualTour
1303,What are the requirements to get an apartment there ?,incomeRequirement
1304,What does your credit score have to be?,creditScore
1305,Is this a virtual tour ?,virtualTour
1306,What does your credit score have to be?,creditScore
1307,How much are your 2/2 & 3/2,unitAssignment
1308,Yes I have a question for how much time is the contract?,leasePeriod
1309,I would like to know how much is a 2b 2b?,unitAssignment
1310,I was wondering how much are y'all studios,unitAssignment
1311,Okay would u be able to tell me the deposit it fee and application fee,applicationFee
1312,Okay and bills paid or which ones will I have to pay,utility
1313,Can I have your address,community_address
1314,Do you all accept section 8?,section8
1315,hello i was wondering the prices and availability,unitAssignment
1316,When is the best day and time for tour? Do I have to do application online or in office?,applicationProcess
1317,Do you have washer/dryer connections?,laundry
1318,cancel the tour,tourCancellation
1319,Do you have exact pricing on the units available? Can I see an available 1 and 2 bedroom unit on the tour?,unitAssignment
1320,are there breed restrictions on dogs?,pet
1321,In unit W/D,laundry
1322,"Good morning, before doing so can I confirm if there are in unit washer and dryers?",laundry
1323,I need to know what your move in requirements  are.,applicationProcess
1324,I'm sorry where is this property located?,community_address
1325,Is the 2bd/1ba priced at $980?,unitAssignment
1326,Yes prices and any move in ready 3+ available by the 1st,unitAssignment
1327,I am going to be moving to the area within the next month I would like to see what is you guys price range,unitAssignment
1328,I would like to know the fee's I have to pay up front including down payment as well as application fee's. I'm a first time renter,applicationFee
1329,Yes is there a website ?,propertyWebsite
1330,Is there a virtual tour possibility.,virtualTour
1331,Is there a website for this location I can check out pictures ?,propertyWebsite
1332,"1 person, 2 pets, maximum for rent is what I found listed on apartment list for that apartment which is 960 a month",unitAssignment
1333,Would it be possible to come see it tomorrow and  possibly apply?,applicationProcess
1334,Price for 1bedroom,unitAssignment
1335,What all comes with it ?,amenities
1336,Can it be earlier,rescheduleTour
1337,Inwould like to know pricing for 2 bedroom floor plans,unitAssignment
1338,Pets,pet
1339,Yes I wanted to know is there a deposit and app fee ?,deposit
1340,Is it possible to do a virtual tour? I am currently in Chicago and won't be in Texas until the moving in date,virtualTour
1341,Can you send me the address,community_address
1342,"I'm not there yet
I have a black lab 
Dogs ok?",pet
1343,Do you offer virtual tours,virtualTour
1344,What is the starting rate for deposit??,deposit
1345,Virtual,virtualTour
1346,Hi I completed my application,applicationProcess
1347,I have completed my application and paid online,applicationProcess
1348,"Okay, when will my application be reviewed",applicationProcess
1349,925,unitAssignment
1350,Hello! I was interested To know what the short term lease they have and how much a 1 bedroom would be a month,unitAssignment
1351,What's the price difference for 1 bedroom for all three leases?,unitAssignment
1352,"I have a voucher for housing do you accept 
Positive Vibes Only ",leasingOfficePromotion
1353,How much is the deposit,deposit
1354,What does the apartment include?,amenities
1355,It will be me and my 3 kids which are all under 8 years old. I make around $5200 per month but looking for something around or under 1200 a month.,unitAssignment
1356,Good morning I am just looking for information on what the total move-in cost would be if I was to move in by May 20,moveInCost
1357,"I filled out application online
Please check status",applicationProcess
1358,Okay do you guys have any credit requirements,creditScore
1359,"What would be the down payment , monthly payment and if the utilities are included",unitAssignment
1360,I'm not able to come to houston but I would love to know if y'all go short term leases. I am only staying in town for the summer,leasePeriod
1361,Can I do a virtual tour?,virtualTour
1362,Hello I wanted to ask how much is it for a one bedroom ? Is there any deposit?,moveInCost
1363,Yes do this unit have any garage,amenities
1364,yes do this unit have any garage,amenities
1365,yes do this unit have any garage,amenities
1366,yes do this unit have any garage,amenities
1367,I have a question about background. I have a class D misdemeanor assault charge that is 7 years old. No previous record and no record ever after. I am educated and I am a teacher. I want to disclose this information and see your leasing company policy prior to visiting and starting the application and deposit process. I can provide any other information to you or management in regards to this issue.,misdemeanorPolicy
1368,What's the price of them,unitAssignment
1369,what's the application fee and admin fee,applicationFee
1370,Okay and the deposit?,deposit
1371,I would like to ask how much would it be for a 3bed room,unitAssignment
1372,What is the price for a two bed room apartment?,unitAssignment
1373,How much 1 bed,unitAssignment
1374,The deposit and the application fee,applicationFee
1375,How much is your one bed,unitAssignment
1376,Yes so I’m looking to possibly relocate however I’m wanting to know about the move in special you guys have I currently live in Monroe Louisiana,leasingOfficePromotion
1377,swimming pool,pool
1378,i was also seeing if water/ electricity are included,utility
1379,Or 6 month lease,leasePeriod
1380,Yeah I have a felony of 8 years back agg robbery in was wondering if this could stop me from moving into your establishment,misdemeanorPolicy
1381,Also just to let you know i was convicted od a DUI felony back in 2014 will this be an issue,misdemeanorPolicy
1382,"Hi yes I was wanting to more information about the unit. How much does a 2 bed cost, and what is the deposit and application fee ?",applicationFee
1383,No washer and dryer connection.,laundry
1384,cancel the tour,tourCancellation
1385,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
1386,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
1387,pet?,pet
1388,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
1389,How much is the deposit again miss,deposit
1390,Any specials,leasingOfficePromotion
1391,Do you Have washer and dryer hook up?,laundry
1392,What's the location,community_address
1393,And if so how much are they going for?,unitAssignment
1394,Do you have a move in special ?,leasingOfficePromotion
1395,Yes please what are all your qualifications to move in how much is your deposit admin fee and application,applicationFee
1396,I'm looking to move in ASAP just needed to know like total move in price that I'll be looking at,moveInCost
1397,Do you have any specials,leasingOfficePromotion
1398,Can you cancel I apologize for the inconvenience. I'll reschedule on my own.,tourCancellation
1399,Where are you located at,community_address
1400,Is all bills paid,applicationFee
1401,"Hi Kelsey, yes I would like to schedule a virtual tour for a 1bed 1 bath",virtualTour
1402,"Great, when can we set one up? And can you tell me a little more about the units you have available please and the application process?",applicationProcess
1403,How much are your 1 bed rooms going for,unitAssignment
1404,Yes what time you close today,leasingOfficeHoursFriday
1405,"What is the rent for 1 bedroom and studio, with washer ad dryer.",unitAssignment
1406,How much do I have to put down to move in ?,deposit
1407,"Hi Kelsey, I submitted a request for a virtual tour of A2 floor plan on this weekend. Could you please help me confirm the request? Thank you so much",virtualTour
1408,"Hi Kelsey, I submitted a request for a virtual tour of A2 floor plan on this weekend. Could you please help me confirm the request? Thank you so much",virtualTour
1409,Can you please show me some cheaper unit,wantsLessExpensiveUnit
1410,It is too expensive,wantsLessExpensiveUnit
1411,Out of my budget,wantsLessExpensiveUnit
1412,Do you have something cheaper unit,wantsLessExpensiveUnit
1413,It is out of my budget,wantsLessExpensiveUnit
1414,Need some cheaper,wantsLessExpensiveUnit
1415,Do you have anything else,wantsLessExpensiveUnit
1416,Can you please show few more options,wantsLessExpensiveUnit
1417,Looking for some cheaper unit,wantsLessExpensiveUnit
1418,Shell I have few more option to select,wantsLessExpensiveUnit
1419,I want to know more the unit?,wantsLessExpensiveUnit
1420,I want to reschedule my tour,tourReschedule
1421,I need to change my tour time,tourReschedule
1422,I need to reschedule,tourReschedule
1423,I want to cancel the tour,tourCancelled
1424,I won't be able to reach for tour,tourCancelled
1425,Can you cancel my tour,tourCancelled
1426,Can you cancel my visit?,tourCancelled
1427,"No, that pricing won't work for me",wantsLessExpensiveUnit
1428,I'm looking for something more of $2200 or less,wantsLessExpensiveUnit
1429,"That is above his budget, but thanks for letting me know",wantsLessExpensiveUnit
1430,"Sorry, I like to cancel the tour.",tourCancelled
1431,Hi my tour was cancelled because you guys said the unit is no longer available ,tourCancelled
1432,I'd like to cancel my tour please,tourCancelled
1433,Sorry for the inconvenience you can cancel my appointment for Monday I came by there Friday afternoon. The street in front of the apartments stay busy,tourCancelled
1434,Good Morning I am so sorry I have to cancel I was supposed to tell on Thursday I was so busy I would love to next Saturday I will be on that side of town Noon the same time 6/11 I am so sorry about the inconvenience,tourCancelled
1435,I have to cancel my family needs me today,tourCancelled
1436,"Actually,  I would like to cancel the tour, thank you. ",tourCancelled
1437,"Hi, good morning I have to cancel the tour  y let you know on these week what day I can go sorry.",tourCancelled
1438,I want to cancel,tourCancelled
1439,cancel the tour,tourCancelled
1440,Hello. This is Woohyun. I think I'm going to have to cancel this appointment because I decided to go somewhere else this morning. I'm very sorry.,tourCancelled
1441,I'm sorry to say I will be canceling the appointment for the viewing. Thank you for your time.,tourCancelled
1442,Can you cancel I apologize for the inconvenience. I'll reschedule on my own. ,tourReschedule
1443,"Hiii! I'm still interested, can we reschedule for today or tomorrow?",tourReschedule
1444,Hey I'm sorry I will have to reschedule ,tourReschedule
1445,"Yes, that will work. If I have to reschedule, I will let you know (must check with my sitter, but there's usually no issue). Thank you! Btw, my legal name is Candace Abigail Smith, if you want that for your records.",tourReschedule
1446,can i reschedule please for tomorrow ,tourReschedule
1447,"Hi Kelsey, I'm sorry but I am not interested anymore thank you",notInterested
1448,Sorry I am not interested anymore,notInterested
1449,"Hello, I'm not interested any longer. Thank you for reaching out",notInterested
1450,"I am not interested, thank you",notInterested
1451,Hello I'm not interested in the apartment I've already found one and actually the one I wanted I greatly appreciate you reaching out have a nice day 😊,notInterested
1452,I'm not interested. Thank you. ,notInterested
1453,Somewhat! I am just not interested in setting up an account right now! ,notInterested
1454,I was interested in the $2119 apartment,wantsLessExpensiveUnit
1455,"Hello sorry, I'm still looking at apartments, I didn't realize I accidentally submitted something.",unitAssignment
1456,"Yes yes hello, how much is rent for a 2bed 1 bath",unitAssignment
1457, I could come by tomorrow,tourBooking
1458,Tour,tourBooking
1459,"Hi Kelsey! Thank you for following up, and yes I would be very interested in scheduling a tour. Do you have anytime available this Saturday? I would like to see some of the available units and ask about move in options, agreements, etc.",tourBooking
1460,"Hi Kelsey! Thank you for following up, and yes I would be very interested in scheduling a tour. Do you have anytime available this Saturday? I would like to see some of the available units and ask about move in options, agreements, etc.",tourBooking
1461,Tour,tourBooking
